#BIND_OUTPUT version: 3.0

#JOB_TITLE: 0-7

; ********* Atoms within the unit cell:  *********
# NUMBER OF ATOMS: 
	372
# ATOMIC POSITIONS
   1    C 112.144539 62.203728 106.261887
   2    C 110.904633 62.803047 106.430229
   3    C 110.793671 64.199356 106.588089
   4    C 111.917030 65.017548 106.565727
   5    C 113.160789 64.378754 106.521759
   6    C 113.258568 62.991894 106.324539
   7    H 112.268372 61.128525 106.082512
   8    H 111.742493 66.097939 106.429214
   9    C 109.565453 62.160770 106.348122
  10    C 108.665688 63.328598 106.662994
  11    C 109.385963 64.524292 106.727661
  12    C 107.281151 63.589371 106.812431
  13    C 106.947174 64.915260 107.073967
  14    S 108.371483 65.944298 106.994308
  15    C 114.504669 65.083191 106.513283
  16    C 115.382912 63.811699 106.334045
  17    C 114.639915 62.657463 106.232742
  18    C 116.777977 63.535397 106.201927
  19    C 117.045227 62.204361 105.824913
  20    S 115.521667 61.255074 105.739845
  21    C 105.582047 65.117470 107.267555
  22    S 105.855919 62.557232 106.808800
  23    S 118.258537 64.445251 106.316803
  24    C 118.371635 61.938107 105.593750
  25    C 104.815224 63.940262 107.280510
  26    C 119.269180 63.013432 105.803139
  27    H 105.128372 66.076454 107.510574
  28    H 118.716888 60.966270 105.332184
  29    C 120.667976 62.812805 105.698448
  30    C 121.444763 61.651604 105.914146
  31    C 121.011009 60.329945 106.255882
  32    C 122.856773 61.631619 105.893471
  33    C 122.220955 59.459614 106.260010
  34    O 119.826988 60.005508 106.331772
  35    C 123.321884 60.239075 106.021706
  36    C 123.711098 62.649273 105.738235
  37    C 122.372284 58.157413 106.646698
  38    C 124.605553 59.638550 106.143951
  39    C 123.335304 64.010399 105.742302
  40    C 125.123444 62.606152 105.657127
  41    C 123.591614 57.498112 106.758041
  42    H 121.498222 57.566059 106.927971
  43    C 124.714111 58.280075 106.463417
  44    H 125.502556 60.255684 106.010452
  45    N 123.062744 65.134102 105.776978
  46    N 126.248032 62.499615 105.644066
  47    H 123.750992 56.546711 107.023491
  48    H 125.764633 57.856293 106.585403
  49    H 121.198105 63.718388 105.393768
  50    C 103.440018 64.051277 107.185738
  51    C 102.494102 64.780090 107.914185
  52    C 102.644058 65.772690 109.048897
  53    C 101.027878 64.491737 107.931137
  54    C 101.351379 66.096222 109.557236
  55    O 103.716583 66.288437 109.388649
  56    C 100.378555 65.424767 108.831161
  57    C 100.343796 63.654251 107.089127
  58    C 101.061874 67.003983 110.539993
  59    C 99.004509 65.725960 109.118912
  60    C 100.874428 62.929306 106.076996
  61    C 98.961525 63.381359 107.077492
  62    C 99.686592 67.345688 110.760361
  63    H 101.834465 67.344971 111.158020
  64    C 98.637672 66.734558 110.044991
  65    H 98.201401 65.181664 108.726128
  66    N 101.383430 62.336990 105.214600
  67    N 97.827057 63.192616 106.947929
  68    H 99.601906 68.079323 111.557907
  69    H 97.600471 66.962921 110.122139
  70    H 103.070755 63.444958 106.445488
  71    C 114.780746 65.815483 107.848228
  72    C 113.945709 65.719246 108.917419
  73    C 116.099289 66.293922 108.007195
  74    C 114.457451 66.094963 110.152123
  75    H 112.994133 65.226852 108.802788
  76    C 116.607750 66.610992 109.283150
  77    H 116.740852 66.203575 107.121513
  78    C 115.736412 66.621117 110.329857
  79    H 113.900101 66.092262 111.040756
  80    H 117.672127 66.918999 109.433014
  81    C 109.363617 61.132584 107.421150
  82    C 110.391785 60.930294 108.319801
  83    C 108.141052 60.532093 107.655548
  84    C 110.284317 60.133804 109.429031
  85    H 111.351089 61.378536 108.104027
  86    C 108.038269 59.583744 108.724747
  87    H 107.369492 60.602291 106.857735
  88    C 109.128052 59.402863 109.596596
  89    H 111.101387 59.966343 110.098190
  90    H 107.114044 59.108479 108.946106
  91    C 109.363724 61.569611 104.934196
  92    C 110.429924 60.842216 104.353424
  93    C 108.105988 61.598835 104.412514
  94    C 110.209282 60.128601 103.184738
  95    H 111.345001 60.967651 104.741219
  96    C 107.909370 60.922119 103.224777
  97    H 107.331200 62.142014 104.901581
  98    C 108.919029 60.242214 102.603935
  99    H 110.974228 59.596588 102.674217
 100    H 106.933418 61.006611 102.791321
 101    C 114.608368 65.979836 105.300781
 102    C 115.772812 65.850838 104.527008
 103    C 113.664948 66.909279 104.905457
